StrokeIndex,ColorR,ColorG,ColorB,Count,ColorA,BrushSize,Start_X,Start_Y,Start_Z,End_X,End_Y,End_Z,TotalUndoCount,SelectedSceneID
0,0.0000,0.0000,1.0000,1,1.0000,0.0200,0.1957,0.6421,0.0511,0.1937,0.6651,0.0473,0,Summer
1,0.0000,0.0000,1.0000,2,1.0000,0.0200,0.2982,0.7502,0.0437,0.2958,0.7062,0.0338,0,Summer
2,0.0000,0.0000,1.0000,3,1.0000,0.0200,0.2308,0.7699,0.1191,0.2972,0.7580,0.0878,0,Summer
3,0.0000,0.0000,1.0000,4,1.0000,0.0200,0.2174,0.6713,0.0541,0.2243,0.6642,0.0473,0,Summer
4,0.0000,1.0000,1.0000,1,1.0000,0.0200,0.1705,0.6965,0.1232,0.3490,0.7188,0.0614,0,Summer
5,1.0000,0.9216,0.0157,1,1.0000,0.0200,0.1999,0.5984,0.0065,0.0986,0.5184,-0.0766,0,Summer
6,1.0000,0.9216,0.0157,2,1.0000,0.0200,0.2321,0.5724,-0.0526,0.1409,0.5127,-0.0703,0,Summer
7,1.0000,0.0000,0.0000,1,1.0000,0.0200,0.4668,0.8343,-0.0917,0.5073,0.8250,-0.1024,0,Summer
8,1.0000,0.0000,0.0000,2,1.0000,0.0200,0.5133,0.7963,-0.1108,0.4757,0.6657,-0.1505,0,Summer
9,1.0000,0.0000,0.0000,3,1.0000,0.0200,0.4420,0.7164,-0.0400,0.4231,0.6383,-0.0823,0,Summer
10,1.0000,0.0000,0.0000,4,1.0000,0.0200,0.4282,0.7409,0.0309,0.3925,0.6496,0.0023,0,Summer
11,1.0000,0.0000,0.0000,5,1.0000,0.0200,0.4920,0.8030,0.0067,0.4539,0.6864,-0.0391,0,Summer
12,1.0000,0.0000,0.0000,6,1.0000,0.0200,0.4627,1.0074,-0.0648,0.4558,1.0091,-0.0409,0,Summer
13,1.0000,0.9216,0.0157,3,1.0000,0.0200,0.3629,0.6696,-0.0741,0.3659,0.6612,-0.0712,0,Summer
14,1.0000,0.9216,0.0157,4,1.0000,0.0200,-0.2200,0.8625,0.2456,-0.2212,0.8631,0.2439,0,Summer
