StrokeIndex,ColorR,ColorG,ColorB,Count,ColorA,BrushSize,Start_X,Start_Y,Start_Z,End_X,End_Y,End_Z,TotalUndoCount,SelectedSceneID
0,0.0000,0.0000,1.0000,1,1.0000,0.0200,0.3720,0.7586,0.4701,0.3538,0.7598,0.4696,0,Spring
1,1.0000,0.0000,0.0000,1,1.0000,0.0200,0.5809,0.8574,0.3737,0.5931,0.8724,0.3780,0,Spring
2,1.0000,0.9216,0.0157,1,1.0000,0.0200,0.6659,0.8325,0.3042,0.7296,0.9025,0.2325,0,Spring
3,1.0000,0.9216,0.0157,2,1.0000,0.0200,0.7561,0.9285,0.2091,0.5713,0.6990,0.2965,0,Spring
4,1.0000,0.0000,0.0000,2,1.0000,0.0200,0.5863,0.8456,0.4079,0.5816,0.7099,0.2655,0,Spring
5,1.0000,0.9216,0.0157,3,1.0000,0.0200,0.7041,1.1090,-0.0279,0.6637,0.7910,-0.1094,0,Spring
