StrokeIndex,ColorR,ColorG,ColorB,Count,ColorA,BrushSize,Start_X,Start_Y,Start_Z,End_X,End_Y,End_Z,TotalUndoCount,SelectedSceneID
0,0.0000,1.0000,1.0000,1,1.0000,0.0200,0.1626,0.7552,0.4948,0.1917,0.7353,0.4673,0,Summer
1,0.0000,1.0000,1.0000,2,1.0000,0.0200,0.2913,0.7271,0.4943,0.3156,0.7623,0.5036,0,Summer
2,0.0000,0.0000,1.0000,1,1.0000,0.0200,0.4645,0.7250,0.4457,0.5163,0.8669,0.5164,0,Summer
3,0.0000,1.0000,1.0000,3,1.0000,0.0200,-0.0739,1.0985,0.5321,0.0267,0.9734,0.5927,0,Summer
4,0.0000,1.0000,1.0000,4,1.0000,0.0200,0.0250,0.9283,0.5795,0.0392,0.9709,0.5923,0,Summer
5,0.0000,1.0000,1.0000,5,1.0000,0.0200,0.0377,1.1090,0.5945,0.1523,1.0522,0.6223,0,Summer
6,0.0000,1.0000,1.0000,6,1.0000,0.0200,0.1370,1.1955,0.6294,0.1786,0.9990,0.6340,0,Summer
7,0.0000,1.0000,1.0000,7,1.0000,0.0200,0.0994,0.9976,0.5938,0.1939,1.0187,0.6263,0,Summer
8,0.0000,1.0000,1.0000,8,1.0000,0.0200,0.1278,0.9399,0.5965,0.2145,0.9887,0.6127,0,Summer
9,0.0000,1.0000,1.0000,9,1.0000,0.0200,0.2037,1.1053,0.6433,0.2465,1.0574,0.6306,0,Summer
10,0.0000,1.0000,1.0000,10,1.0000,0.0200,0.2821,1.0917,0.6260,0.3594,1.1606,0.6147,0,Summer
11,0.0000,1.0000,1.0000,11,1.0000,0.0200,0.3719,1.1463,0.6263,0.4143,1.0181,0.6125,0,Summer
12,0.0000,1.0000,1.0000,12,1.0000,0.0200,0.4244,1.2014,0.6194,0.4871,0.9538,0.5738,0,Summer
13,0.0000,1.0000,1.0000,13,1.0000,0.0200,0.4772,1.1294,0.5601,0.6036,0.9647,0.5111,0,Summer
14,0.0000,1.0000,1.0000,14,1.0000,0.0200,0.5997,1.2397,0.5099,0.6414,1.0378,0.4796,0,Summer
15,0.0000,1.0000,1.0000,15,1.0000,0.0200,0.6329,1.1190,0.4894,0.6777,1.1594,0.4328,0,Summer
16,0.0000,1.0000,1.0000,16,1.0000,0.0200,0.6509,1.2171,0.4529,0.7206,1.0585,0.4035,0,Summer
17,0.0000,1.0000,1.0000,17,1.0000,0.0200,0.7276,1.1958,0.3837,0.7866,1.0712,0.3153,0,Summer
18,0.0000,1.0000,1.0000,18,1.0000,0.0200,0.7515,1.2860,0.3232,0.8074,1.0368,0.2847,0,Summer
19,0.0000,1.0000,1.0000,19,1.0000,0.0200,0.7856,1.1660,0.2966,0.8369,1.2031,0.2199,0,Summer
20,0.0000,1.0000,1.0000,20,1.0000,0.0200,0.8352,1.2119,0.2236,0.8419,1.1608,0.2068,0,Summer
