StrokeIndex,ColorR,ColorG,ColorB,Count,ColorA,BrushSize,Start_X,Start_Y,Start_Z,End_X,End_Y,End_Z,TotalUndoCount,SelectedSceneID
0,0.0000,0.0000,1.0000,1,1.0000,0.0200,0.5176,1.0589,0.0131,0.4791,1.0110,-0.0163,0,2
1,0.0000,0.0000,1.0000,2,1.0000,0.0200,0.4724,1.0333,-0.0008,0.7263,1.0457,-0.0247,0,2
2,0.0000,0.0000,1.0000,3,1.0000,0.0200,0.5424,1.0436,0.0055,0.6798,1.0444,-0.0147,0,2
3,0.0000,0.0000,1.0000,4,1.0000,0.0200,0.6028,1.0449,0.0052,0.6533,1.0504,0.0028,0,2
4,0.0000,1.0000,1.0000,1,1.0000,0.0200,0.4952,0.9903,-0.0940,0.4955,0.9887,-0.0966,0,2
5,0.0000,1.0000,1.0000,2,1.0000,0.0200,0.6021,1.1819,0.0775,0.6043,1.1848,0.0598,0,2
