StrokeIndex,ColorR,ColorG,ColorB,Count,ColorA,BrushSize,Start_X,Start_Y,Start_Z,End_X,End_Y,End_Z,TotalUndoCount,SelectedSceneID
0,0.0000,1.0000,1.0000,1,1.0000,0.0200,-0.0501,1.0620,0.4723,0.1678,0.9280,0.3829,0,3
1,0.0000,1.0000,0.0000,1,1.0000,0.0200,0.2066,1.2456,0.3814,0.1514,0.9949,0.4122,0,3
2,1.0000,0.0000,0.0000,1,1.0000,0.0200,-0.2847,1.0532,0.2966,0.2185,1.0739,0.3802,0,3
3,1.0000,0.9216,0.0157,1,1.0000,0.0200,0.4885,1.0395,0.1812,0.2416,1.6553,0.2038,0,3
4,1.0000,0.9216,0.0157,2,1.0000,0.0200,0.3698,1.6793,0.1079,0.3588,1.6516,0.1762,0,3
5,0.0000,0.0000,1.0000,1,1.0000,0.0200,0.2088,1.6742,0.2368,-0.0617,0.9730,0.3428,0,3
6,0.0000,0.0000,1.0000,2,1.0000,0.0200,0.0100,1.0287,0.3786,0.1387,1.6070,0.3801,0,3
7,0.0000,1.0000,1.0000,2,1.0000,0.0200,-0.0894,1.4569,0.4263,0.3261,1.0007,0.3319,0,3
8,0.0000,1.0000,0.0000,2,1.0000,0.0200,-0.0294,0.9541,0.3776,0.2153,0.7240,0.3703,0,3
