StrokeIndex,ColorR,ColorG,ColorB,Count,ColorA,BrushSize,Start_X,Start_Y,Start_Z,End_X,End_Y,End_Z,TotalUndoCount,SelectedSceneID
0,0.0000,0.0000,1.0000,1,1.0000,0.0200,0.3743,1.0862,-0.0548,0.5136,1.0552,0.0804,0,1
1,0.0000,1.0000,1.0000,1,1.0000,0.0104,0.7071,1.3586,0.0625,0.5454,0.9253,-0.1297,0,1
2,0.0000,1.0000,1.0000,2,1.0000,0.0104,0.5967,0.9390,-0.1400,0.5940,0.9316,-0.1447,0,1
3,0.0000,1.0000,1.0000,3,1.0000,0.0104,0.6505,0.8943,-0.1988,0.8634,1.7155,-0.0931,0,1
4,0.0000,1.0000,1.0000,4,1.0000,0.0104,0.7921,1.6567,-0.0205,0.6894,1.3220,0.0236,0,1
5,0.0000,1.0000,1.0000,5,1.0000,0.0104,0.7638,1.4249,0.0738,0.7600,1.2844,0.0460,0,1
6,0.0000,1.0000,1.0000,6,1.0000,0.0104,0.6947,1.1856,0.0543,0.7111,1.2107,0.0627,0,1
7,0.0000,1.0000,1.0000,7,1.0000,0.0104,0.8050,1.4281,0.1229,0.7406,1.2403,0.1149,0,1
8,0.0000,1.0000,1.0000,8,1.0000,0.0104,0.7646,1.3300,0.1170,0.6922,1.1050,0.0803,0,1
9,0.0000,1.0000,1.0000,9,1.0000,0.0500,0.6887,1.3833,0.1038,0.7454,1.2463,0.1350,0,1
