StrokeIndex,ColorR,ColorG,ColorB,Count,ColorA,BrushSize,Start_X,Start_Y,Start_Z,End_X,End_Y,End_Z,TotalUndoCount,SelectedSceneID
0,0.0000,0.0000,1.0000,1,1.0000,0.0200,0.3917,0.7954,0.1706,0.3901,0.7971,0.1663,1,2
1,0.0000,0.0000,1.0000,2,1.0000,0.0200,0.4025,0.7870,0.3019,0.4059,0.7842,0.2970,1,2
2,0.0000,0.0000,1.0000,3,1.0000,0.0200,0.4114,0.7903,0.2935,0.4174,0.7879,0.2850,1,2
3,0.0000,0.0000,1.0000,4,1.0000,0.0200,0.4127,0.7958,0.2825,0.6481,0.8548,0.1307,1,2
4,0.0000,0.0000,1.0000,5,1.0000,0.0200,0.6045,0.6626,0.1780,0.9164,0.7688,-0.0895,1,2
5,0.0000,0.0000,1.0000,6,1.0000,0.0200,0.5840,1.0370,0.1045,0.7274,0.9672,0.1174,1,2
6,0.0000,0.0000,1.0000,7,1.0000,0.0200,0.7171,0.9873,0.1157,0.7938,0.9402,0.0570,1,2
7,0.0000,0.0000,1.0000,8,1.0000,0.0200,0.7998,1.0481,-0.0310,0.7870,1.0233,-0.0072,1,2
8,0.0000,0.0000,1.0000,9,1.0000,0.0200,0.7981,1.0338,-0.0209,0.8327,1.0262,-0.0589,1,2
9,0.0000,0.0000,1.0000,10,1.0000,0.0200,0.8471,1.0161,-0.0727,0.8694,1.0158,-0.1126,1,2
10,0.0000,0.0000,1.0000,11,1.0000,0.0200,0.8813,1.0018,-0.1220,0.8074,0.8705,0.0432,1,2
11,0.0000,1.0000,1.0000,1,1.0000,0.0200,0.7106,0.7031,0.1412,0.7081,0.7274,0.1407,1,2
12,0.0000,0.0000,1.0000,12,1.0000,0.0200,0.9026,0.7668,0.0107,0.8775,0.7428,0.0331,1,2
13,1.0000,0.0000,0.0000,1,1.0000,0.0200,0.7531,0.7759,0.0738,0.7379,1.1203,-0.0967,1,2
14,1.0000,0.9216,0.0157,1,1.0000,0.0200,0.6450,0.7294,0.0516,0.7844,0.8054,-0.1727,1,2
15,0.0000,0.0000,1.0000,13,1.0000,0.0200,0.7960,0.9121,-0.0268,0.6674,0.8696,0.1382,1,2
16,0.0000,1.0000,1.0000,2,1.0000,0.0200,0.6634,0.8869,0.1424,0.8166,0.7471,0.0457,1,2
17,0.0000,1.0000,1.0000,3,1.0000,0.0200,0.8023,0.5939,-0.2932,0.7771,0.8643,-0.2453,1,2
18,0.0000,1.0000,1.0000,4,1.0000,0.0200,0.5984,0.5697,-0.0328,0.6195,0.8414,-0.0203,1,2
19,0.0000,1.0000,1.0000,5,1.0000,0.0200,0.6252,0.8683,-0.0105,0.7667,0.8799,-0.2638,1,2
20,0.0000,1.0000,1.0000,6,1.0000,0.0200,0.7887,0.8834,-0.2559,0.9625,1.0109,-0.2445,1,2
21,0.0000,1.0000,1.0000,7,1.0000,0.0200,0.9593,1.0259,-0.2428,0.9886,0.7548,-0.1907,1,2
22,0.0000,1.0000,1.0000,8,1.0000,0.0200,0.6482,0.8675,0.0501,0.8786,0.9975,-0.2421,1,2
23,0.0000,1.0000,1.0000,9,1.0000,0.0200,0.8023,1.0070,0.0401,0.8277,0.7717,0.0632,1,2
