StrokeIndex,ColorR,ColorG,ColorB,Count,ColorA,BrushSize,Start_X,Start_Y,Start_Z,End_X,End_Y,End_Z,TotalUndoCount,SelectedSceneID
0,0.0000,0.0000,1.0000,1,1.0000,0.0200,0.4240,0.0564,0.1836,0.3833,0.0478,0.1638,0,0
1,0.0000,0.0000,1.0000,2,1.0000,0.0200,0.3994,0.0513,0.1738,0.3890,0.0471,0.1629,0,0
2,0.0000,0.0000,1.0000,3,1.0000,0.0200,0.3885,0.0484,0.1638,0.3999,0.0688,0.1739,0,0
3,0.0000,0.0000,1.0000,4,1.0000,0.0200,0.4145,0.0857,0.1864,0.3987,0.1286,0.1896,0,0
4,0.0000,0.0000,1.0000,5,1.0000,0.0200,0.3416,0.1941,0.1193,0.4077,0.1407,0.1719,0,0
5,0.0000,0.0000,1.0000,6,1.0000,0.0200,0.3990,0.1400,0.1638,0.4023,0.1329,0.1583,0,0
6,0.0000,0.0000,1.0000,7,1.0000,0.0200,0.4840,0.0634,0.1809,0.4587,0.1201,0.1992,0,0
7,0.0000,0.0000,1.0000,8,1.0000,0.0200,0.4252,0.2751,0.2080,0.4319,0.2147,0.1993,0,0
8,0.0000,0.0000,1.0000,9,1.0000,0.0200,0.3719,0.2963,0.1385,0.4754,0.2681,0.1866,0,0
9,0.0000,1.0000,0.0000,1,1.0000,0.0200,0.4473,0.1322,0.1666,0.4193,0.1232,0.1432,0,0
10,0.0000,1.0000,0.0000,2,1.0000,0.0200,0.4944,0.1397,0.1831,0.5019,0.1453,0.1822,0,0
11,0.0000,1.0000,0.0000,3,1.0000,0.0200,0.4631,0.1417,0.1676,0.4172,0.1171,0.1397,0,0
12,1.0000,0.0000,0.0000,1,1.0000,0.0200,0.3591,0.1487,0.1275,0.4243,0.1522,0.1622,0,0
13,1.0000,0.9216,0.0157,1,1.0000,0.0200,0.3954,0.1490,0.1436,0.3515,0.1866,0.1116,0,0
14,1.0000,0.9216,0.0157,2,1.0000,0.0200,0.3584,0.1964,0.1179,0.3104,0.2107,0.1049,0,0
15,1.0000,0.9216,0.0157,3,1.0000,0.0200,0.2748,0.1540,0.0748,0.4057,0.1477,0.1334,0,0
16,1.0000,0.9216,0.0157,4,1.0000,0.0200,0.1894,0.2597,0.0273,0.1922,0.2627,0.0282,0,0
17,1.0000,0.9216,0.0157,5,1.0000,0.0200,0.1921,0.2526,0.0293,0.1914,0.2517,0.0294,0,0
