StrokeIndex,ColorR,ColorG,ColorB,Count,ColorA,BrushSize,Start_X,Start_Y,Start_Z,End_X,End_Y,End_Z,TotalUndoCount,SelectedSceneID
0,0.0000,0.0000,1.0000,1,1.0000,0.0200,0.0342,1.0553,0.4853,0.3520,0.9601,0.4326,0,0
1,0.0000,1.0000,1.0000,1,1.0000,0.0200,-0.0971,0.9176,0.4181,-0.0971,0.9176,0.4181,0,0
2,0.0000,1.0000,1.0000,2,1.0000,0.0200,-0.0063,1.0327,0.4581,0.1663,0.9297,0.4804,0,0
3,0.0000,1.0000,0.0000,1,1.0000,0.0200,0.0798,0.8407,0.4251,-0.0584,0.9933,0.4187,0,0
4,0.0000,1.0000,0.0000,2,1.0000,0.0200,-0.0736,1.0208,0.4276,-0.0399,1.2240,0.5451,0,0
5,0.0000,1.0000,0.0000,3,1.0000,0.0200,-0.0859,0.9100,0.5805,-0.1198,0.9273,0.4997,0,0
6,0.0000,1.0000,0.0000,4,1.0000,0.0200,-0.0343,1.0514,0.5313,-0.1117,0.9269,0.5079,0,0
7,0.0000,1.0000,0.0000,5,1.0000,0.0200,-0.1332,0.9027,0.4858,-0.1898,0.9180,0.4215,0,0
8,0.0000,1.0000,0.0000,6,1.0000,0.0200,-0.2058,0.9946,0.3965,-0.1536,0.9549,0.5042,0,0
9,0.0000,1.0000,0.0000,7,1.0000,0.0200,-0.1899,0.9227,0.4657,-0.2094,0.9241,0.4459,0,0
10,0.0000,1.0000,0.0000,8,1.0000,0.0200,-0.2583,0.9573,0.3747,-0.1801,1.0549,0.5292,0,0
11,0.0000,1.0000,0.0000,9,1.0000,0.0200,-0.2858,0.9920,0.3802,-0.2424,1.0143,0.4562,0,0
12,0.0000,1.0000,0.0000,10,1.0000,0.0200,-0.2486,1.0168,0.4405,-0.2447,1.0176,0.4385,0,0
13,0.0000,1.0000,0.0000,11,1.0000,0.0200,-0.2875,1.0206,0.3697,-0.2833,1.0243,0.3702,0,0
