StrokeIndex,ColorR,ColorG,ColorB,Count,ColorA,BrushSize,Start_X,Start_Y,Start_Z,End_X,End_Y,End_Z,TotalUndoCount,SelectedSceneID
0,1.0000,0.0000,0.0000,1,1.0000,0.0200,0.0642,0.8017,0.2596,0.0860,0.7953,0.2793,0,Autumn
1,1.0000,0.9216,0.0157,1,1.0000,0.0200,0.0823,0.7690,0.2805,0.0772,0.7749,0.2793,0,Autumn
2,1.0000,0.0000,0.0000,2,1.0000,0.0200,0.1185,0.7556,0.2633,0.0982,0.7225,0.2586,0,Autumn
3,0.0000,1.0000,0.0000,1,1.0000,0.0200,0.4321,0.8148,0.0846,0.4218,0.8276,0.0944,0,Autumn
4,0.0000,1.0000,0.0000,2,1.0000,0.0200,0.4263,0.8305,0.0847,0.4306,0.8325,0.0760,0,Autumn
5,0.0000,1.0000,0.0000,3,1.0000,0.0200,0.4310,0.8277,0.0821,0.3706,0.7135,0.0550,0,Autumn
6,1.0000,0.0000,0.0000,3,1.0000,0.0200,0.4324,0.6948,-0.0206,0.4214,0.6813,-0.0115,0,Autumn
7,1.0000,0.0000,0.0000,4,1.0000,0.0200,0.4306,0.6857,-0.0172,0.4055,0.6228,-0.1785,0,Autumn
8,0.0000,0.0000,1.0000,1,1.0000,0.0200,0.0855,0.6260,0.1533,0.1116,0.6076,0.1587,0,Autumn
9,0.0000,0.0000,1.0000,2,1.0000,0.0200,0.0893,0.5994,0.1596,0.2435,0.6048,0.0980,0,Autumn
10,0.0000,0.0000,1.0000,3,1.0000,0.0200,0.2441,0.6168,0.1000,0.2351,0.5876,0.0757,0,Autumn
