StrokeIndex,ColorR,ColorG,ColorB,Count,ColorA,BrushSize,Start_X,Start_Y,Start_Z,End_X,End_Y,End_Z,TotalUndoCount,SelectedSceneID
0,0.0000,0.0000,1.0000,1,1.0000,0.0200,0.1203,1.0166,0.3982,0.0771,1.6186,0.2197,0,3
1,0.0000,1.0000,1.0000,1,1.0000,0.0200,0.2287,1.5765,0.2506,-0.0518,0.9451,0.3498,0,3
2,0.0000,1.0000,1.0000,2,1.0000,0.0200,-0.0046,0.9851,0.3621,0.1462,1.0616,0.3932,0,3
3,0.0000,1.0000,0.0000,1,1.0000,0.0200,0.0063,1.0557,0.4018,0.3703,1.0694,0.3086,0,3
4,1.0000,0.0000,0.0000,1,1.0000,0.0200,0.4470,1.1305,0.2141,0.4122,1.2271,0.2172,0,3
5,1.0000,0.9216,0.0157,1,1.0000,0.0200,0.0524,1.0357,0.3472,0.2680,1.4065,0.2847,0,3
6,1.0000,0.9216,0.0157,2,1.0000,0.0200,0.2261,1.4241,0.3125,0.2042,1.1260,0.4039,0,3
