StrokeIndex,ColorR,ColorG,ColorB,Count,ColorA,BrushSize,Start_X,Start_Y,Start_Z,End_X,End_Y,End_Z,TotalUndoCount,SelectedSceneID
0,0.0000,0.0000,1.0000,1,1.0000,0.0200,0.1450,0.7694,0.4535,0.1433,0.7660,0.4498,0,Spring
1,0.0000,0.0000,1.0000,2,1.0000,0.0200,0.1462,0.7625,0.4491,0.1517,0.7580,0.4483,0,Spring
2,1.0000,0.9216,0.0157,1,1.0000,0.0200,0.1284,0.7635,0.4657,0.2413,0.7429,0.4869,0,Spring
3,1.0000,0.9216,0.0157,2,1.0000,0.0200,0.2287,0.8114,0.5429,0.2734,0.7860,0.5340,0,Spring
4,1.0000,0.9216,0.0157,3,1.0000,0.0200,0.2737,0.7508,0.5114,0.1775,0.7845,0.4950,0,Spring
5,1.0000,0.9216,0.0157,4,1.0000,0.0200,0.2455,0.7721,0.4901,0.2698,0.7962,0.5089,0,Spring
6,0.0000,1.0000,0.0000,1,1.0000,0.0200,0.2746,0.7884,0.5181,0.3977,0.6318,0.2973,0,Spring
7,1.0000,0.0000,0.0000,1,1.0000,0.0200,0.5503,0.8913,0.4690,0.5312,0.9072,0.4410,0,Spring
8,0.0000,1.0000,0.0000,2,1.0000,0.0200,0.5507,0.8768,0.4400,0.4640,0.6769,0.3217,0,Spring
9,1.0000,0.9216,0.0157,1,0.4961,0.0200,0.3377,0.9464,0.5698,0.3681,0.9291,0.5763,0,Spring
10,1.0000,0.9216,0.0157,2,0.4961,0.0200,0.3637,1.0504,0.5862,0.3217,1.0590,0.5957,0,Spring
11,1.0000,0.9216,0.0157,3,0.4961,0.0200,0.3009,1.0574,0.5953,0.2798,0.9493,0.5809,0,Spring
12,1.0000,0.9216,0.0157,4,0.4961,0.0200,0.2656,1.0896,0.5985,0.2754,0.8656,0.5556,0,Spring
13,1.0000,0.9216,0.0157,5,0.4961,0.0200,0.2912,1.0802,0.5967,0.2792,0.9201,0.5591,0,Spring
14,1.0000,0.9216,0.0157,6,0.4961,0.0200,0.3041,1.0671,0.5854,0.2827,0.8769,0.5359,0,Spring
15,1.0000,0.9216,0.0157,7,0.4961,0.0200,0.3317,1.0393,0.5796,0.3121,0.9199,0.5560,0,Spring
16,1.0000,0.9216,0.0157,8,0.4961,0.0200,0.3633,1.0504,0.5838,0.3293,0.9237,0.5553,0,Spring
17,1.0000,0.9216,0.0157,9,0.4961,0.0200,0.3499,1.0653,0.5771,0.3207,0.8912,0.5519,0,Spring
18,1.0000,0.9216,0.0157,10,0.4961,0.0200,0.3390,1.1029,0.5808,0.3134,0.8547,0.5326,0,Spring
19,1.0000,0.0000,0.0000,1,0.4961,0.0200,0.4951,1.1977,0.5218,0.5739,0.9994,0.5090,0,Spring
20,1.0000,0.0000,0.0000,2,0.4961,0.0200,0.5317,1.2072,0.5043,0.5809,0.9788,0.5156,0,Spring
21,1.0000,0.0000,0.0000,3,0.4961,0.0200,0.5782,1.2000,0.4962,0.5905,0.9539,0.5085,0,Spring
22,1.0000,0.0000,0.0000,4,0.4961,0.0200,0.6025,1.1846,0.4848,0.5850,1.0041,0.5034,0,Spring
23,1.0000,0.0000,0.0000,5,0.4961,0.0200,0.6206,1.1707,0.4712,0.6036,0.9867,0.4917,0,Spring
24,1.0000,0.0000,0.0000,6,0.4961,0.0200,0.6040,1.1884,0.4969,0.5652,1.0298,0.5229,0,Spring
25,1.0000,0.0000,0.0000,7,0.4961,0.0200,0.5523,1.2471,0.5145,0.5997,0.9865,0.4985,0,Spring
26,1.0000,0.0000,0.0000,8,0.4961,0.0200,0.5877,1.2556,0.4711,0.6364,0.9775,0.4705,0,Spring
27,1.0000,0.0000,0.0000,9,0.4961,0.0200,0.5605,1.2299,0.5091,0.6115,0.9862,0.5249,0,Spring
28,1.0000,0.0000,0.0000,10,0.4961,0.0200,0.5219,1.2138,0.5521,0.5924,1.0149,0.5304,0,Spring
29,1.0000,0.0000,0.0000,11,0.4961,0.0200,0.5518,1.2301,0.5235,0.5396,0.9008,0.5128,0,Spring
30,0.0000,1.0000,1.0000,1,0.4961,0.0200,0.6133,0.7667,0.3600,0.6692,0.7670,0.2702,0,Spring
31,0.0000,1.0000,1.0000,2,0.4961,0.0200,0.6100,0.7588,0.3550,0.6487,0.7027,0.2730,0,Spring
32,0.0000,1.0000,1.0000,3,0.4961,0.0200,0.7302,0.9470,0.3463,0.7274,0.8893,0.3012,0,Spring
