StrokeIndex,ColorR,ColorG,ColorB,Count,ColorA,BrushSize,Start_X,Start_Y,Start_Z,End_X,End_Y,End_Z,TotalUndoCount,SelectedSceneID
0,0.0000,0.0000,1.0000,1,1.0000,0.0200,0.0672,0.7361,0.3295,-0.1324,0.8576,0.1763,0,-1
1,0.0000,0.0000,1.0000,2,1.0000,0.0200,-0.1517,0.8795,0.1796,-0.1518,0.8806,0.1790,0,-1
2,0.0000,0.0000,1.0000,3,1.0000,0.0200,0.1669,0.7845,0.2712,-0.0763,0.8002,0.1821,0,-1
3,0.0000,0.0000,1.0000,4,1.0000,0.0200,-0.0502,0.8901,0.1791,0.0412,0.9057,0.2527,0,-1
4,0.0000,0.0000,1.0000,5,1.0000,0.0200,0.0012,0.8689,0.2514,-0.0420,0.8372,0.2356,0,-1
5,0.0000,0.0000,1.0000,6,1.0000,0.0200,-0.0826,0.8739,0.1996,0.0118,0.9511,0.2740,0,-1
6,0.0000,0.0000,1.0000,7,1.0000,0.0200,-0.0234,0.9090,0.2699,-0.0505,0.8688,0.2545,0,-1
7,0.0000,0.0000,1.0000,8,1.0000,0.0200,0.0004,0.8967,0.2669,0.1227,0.9693,0.2712,0,-1
8,0.0000,1.0000,1.0000,1,1.0000,0.0200,0.0518,0.8089,0.3003,-0.0521,0.8180,0.2604,0,-1
9,0.0000,1.0000,1.0000,2,1.0000,0.0200,-0.0789,0.8954,0.2237,0.0327,0.8913,0.2308,0,-1
10,0.0000,1.0000,1.0000,3,1.0000,0.0200,-0.0087,0.8571,0.2041,0.1860,0.8891,0.2276,0,-1
11,0.0000,1.0000,1.0000,4,1.0000,0.0200,0.1330,0.8590,0.2333,0.0977,0.7999,0.2322,0,-1
12,0.0000,1.0000,1.0000,1,0.1280,0.0200,0.0609,0.7997,0.2476,0.2251,0.8785,0.2188,0,-1
13,0.0000,1.0000,1.0000,2,0.1280,0.0200,0.2505,0.8762,0.2072,0.0984,0.7947,0.2410,0,-1
14,0.0000,1.0000,0.0000,1,0.1280,0.0200,0.1608,0.7962,0.2494,-0.0011,0.7715,0.2061,0,-1
15,0.0000,1.0000,0.0000,2,0.1280,0.0200,-0.0864,0.7563,0.1294,-0.1197,0.7922,0.1366,0,-1
16,0.0000,1.0000,0.0000,3,0.1280,0.0200,-0.0847,0.8422,0.1780,0.2429,0.8725,0.2170,0,-1
17,0.0000,1.0000,0.0000,4,0.1280,0.0200,0.2609,0.8647,0.2140,0.0694,0.9186,0.2252,0,-1
18,0.0000,1.0000,0.0000,5,0.1280,0.0200,0.0561,0.8945,0.2260,0.1479,1.0348,0.2165,0,-1
19,1.0000,0.0000,0.0000,1,0.1280,0.0200,-0.0253,0.9978,0.2092,0.1294,1.0238,0.1771,0,-1
