StrokeIndex,ColorR,ColorG,ColorB,Count,ColorA,BrushSize,Start_X,Start_Y,Start_Z,End_X,End_Y,End_Z,TotalUndoCount,SelectedSceneID
0,0.0000,0.0000,1.0000,1,1.0000,0.0200,0.0044,0.7971,0.2704,0.0222,0.8129,0.2862,0,0
1,0.0000,0.0000,1.0000,2,1.0000,0.0200,0.0255,0.8037,0.2887,-0.0132,0.7911,0.3025,0,0
2,0.0000,0.0000,1.0000,3,1.0000,0.0200,-0.0026,0.7726,0.3014,0.0347,0.7807,0.3148,0,0
3,0.0000,0.0000,1.0000,4,1.0000,0.0200,0.0073,0.7836,0.3128,0.0182,0.7616,0.2903,0,0
4,0.0000,0.0000,1.0000,5,1.0000,0.0200,0.0247,0.7710,0.2977,0.0328,0.7612,0.2999,0,0
5,0.0000,1.0000,0.0000,1,1.0000,0.0200,0.0543,0.7402,0.2895,0.0811,0.6268,0.1859,0,0
6,0.0000,1.0000,0.0000,2,1.0000,0.0200,0.0884,0.6433,0.1956,0.0736,0.6268,0.2098,0,0
7,0.0000,1.0000,0.0000,3,1.0000,0.0200,0.0876,0.6231,0.2056,0.0909,0.6265,0.2083,0,0
8,1.0000,0.9216,0.0157,1,1.0000,0.0200,0.2305,0.8943,0.2761,0.1656,0.9156,0.3087,0,0
9,1.0000,0.9216,0.0157,2,1.0000,0.0200,0.1712,0.9117,0.3135,0.2350,0.8580,0.2825,0,0
10,0.0000,0.0000,1.0000,6,1.0000,0.0200,0.1968,0.8307,0.2768,0.2026,0.8220,0.2722,0,0
11,0.0000,0.0000,1.0000,7,1.0000,0.0200,0.2058,0.8237,0.2752,0.2095,0.8131,0.2700,0,0
12,0.0000,1.0000,0.0000,4,1.0000,0.0200,0.2725,0.8645,0.2777,0.2494,0.7322,0.2249,0,0
13,1.0000,0.0000,0.0000,1,1.0000,0.0200,0.4254,0.9174,0.1391,0.4443,0.8769,0.1648,0,0
14,0.0000,1.0000,0.0000,5,1.0000,0.0200,0.4107,0.8860,0.1774,0.3913,0.7863,0.1521,0,0
15,1.0000,0.0000,0.0000,2,1.0000,0.0200,-0.2332,1.1536,0.1839,-0.2420,1.1594,0.1748,0,0
16,1.0000,0.9216,0.0157,3,1.0000,0.0200,-0.2401,1.0699,0.1437,-0.2314,1.0767,0.1509,0,0
17,1.0000,0.9216,0.0157,4,1.0000,0.0200,-0.2380,1.0634,0.1515,-0.2469,1.0729,0.1494,0,0
18,1.0000,0.9216,0.0157,5,1.0000,0.0200,-0.2421,1.0722,0.1694,-0.2264,1.0929,0.1733,0,0
19,1.0000,0.9216,0.0157,6,1.0000,0.0200,-0.2696,1.0816,0.1408,-0.2491,1.0838,0.1727,0,0
20,1.0000,0.9216,0.0157,7,1.0000,0.0200,-0.2470,1.0920,0.1588,-0.2323,1.0618,0.1512,0,0
21,1.0000,0.9216,0.0157,8,1.0000,0.0200,-0.2254,1.0825,0.1701,-0.2381,1.0671,0.1343,0,0
22,1.0000,0.9216,0.0157,9,1.0000,0.0200,-0.2270,1.0589,0.1398,-0.2364,1.0777,0.1391,0,0
23,1.0000,0.9216,0.0157,10,1.0000,0.0200,-0.2211,1.1340,0.0832,-0.2238,1.1014,0.0968,0,0
24,1.0000,0.9216,0.0157,11,1.0000,0.0200,-0.2470,1.1169,0.1248,-0.2444,1.0980,0.1206,0,0
25,1.0000,0.9216,0.0157,12,1.0000,0.0200,-0.1636,1.1175,0.1213,-0.1742,1.1202,0.1117,0,0
26,1.0000,0.9216,0.0157,13,1.0000,0.0200,-0.1923,1.1143,0.1175,-0.1911,1.1182,0.1214,0,0
