StrokeIndex,ColorR,ColorG,ColorB,Count,ColorA,BrushSize,Start_X,Start_Y,Start_Z,End_X,End_Y,End_Z,TotalUndoCount,SelectedSceneID
0,0.0000,0.0000,1.0000,1,1.0000,0.0200,0.1046,0.8847,0.5296,0.0450,0.9864,0.4078,0,-1
1,0.0000,0.0000,1.0000,2,1.0000,0.0200,-0.0209,0.9694,0.3149,-0.0008,0.9834,0.3246,0,-1
2,0.0000,0.0000,1.0000,3,1.0000,0.0200,0.0225,1.0127,0.3546,-0.0262,0.9447,0.2956,0,-1
3,0.0000,0.0000,1.0000,4,1.0000,0.0200,0.0262,1.0331,0.3978,0.0302,0.9741,0.4123,0,-1
4,0.0000,0.0000,1.0000,5,1.0000,0.0200,-0.0730,0.9592,0.2819,-0.0148,1.0110,0.3724,0,-1
