StrokeIndex,ColorR,ColorG,ColorB,Count,ColorA,BrushSize,Start_X,Start_Y,Start_Z,End_X,End_Y,End_Z,TotalUndoCount,SelectedSceneID
0,0.0000,0.0000,1.0000,1,1.0000,0.0200,0.3917,0.7954,0.1706,0.3901,0.7971,0.1663,4,2
1,0.0000,0.0000,1.0000,2,1.0000,0.0200,0.4025,0.7870,0.3019,0.4059,0.7842,0.2970,4,2
2,0.0000,0.0000,1.0000,3,1.0000,0.0200,0.4114,0.7903,0.2935,0.4174,0.7879,0.2850,4,2
3,0.0000,0.0000,1.0000,4,1.0000,0.0200,0.4127,0.7958,0.2825,0.6481,0.8548,0.1307,4,2
4,0.0000,0.0000,1.0000,5,1.0000,0.0200,0.6045,0.6626,0.1780,0.9164,0.7688,-0.0895,4,2
5,0.0000,0.0000,1.0000,6,1.0000,0.0200,0.5840,1.0370,0.1045,0.7274,0.9672,0.1174,4,2
6,0.0000,0.0000,1.0000,7,1.0000,0.0200,0.7171,0.9873,0.1157,0.7938,0.9402,0.0570,4,2
7,0.0000,0.0000,1.0000,8,1.0000,0.0200,0.7998,1.0481,-0.0310,0.7870,1.0233,-0.0072,4,2
8,0.0000,0.0000,1.0000,9,1.0000,0.0200,0.7981,1.0338,-0.0209,0.8327,1.0262,-0.0589,4,2
9,0.0000,0.0000,1.0000,10,1.0000,0.0200,0.8471,1.0161,-0.0727,0.8694,1.0158,-0.1126,4,2
10,0.0000,0.0000,1.0000,11,1.0000,0.0200,0.8813,1.0018,-0.1220,0.8074,0.8705,0.0432,4,2
11,0.0000,1.0000,1.0000,1,1.0000,0.0200,0.7106,0.7031,0.1412,0.7081,0.7274,0.1407,4,2
12,0.0000,0.0000,1.0000,12,1.0000,0.0200,0.9026,0.7668,0.0107,0.8775,0.7428,0.0331,4,2
13,1.0000,0.0000,0.0000,1,1.0000,0.0200,0.7531,0.7759,0.0738,0.7379,1.1203,-0.0967,4,2
14,1.0000,0.9216,0.0157,1,1.0000,0.0200,0.6450,0.7294,0.0516,0.7844,0.8054,-0.1727,4,2
15,0.0000,0.0000,1.0000,13,1.0000,0.0200,0.7960,0.9121,-0.0268,0.6674,0.8696,0.1382,4,2
16,0.0000,1.0000,1.0000,2,1.0000,0.0200,0.6634,0.8869,0.1424,0.8166,0.7471,0.0457,4,2
17,0.0000,1.0000,1.0000,3,1.0000,0.0200,0.8023,0.5939,-0.2932,0.7771,0.8643,-0.2453,4,2
18,0.0000,1.0000,1.0000,4,1.0000,0.0200,0.5984,0.5697,-0.0328,0.6195,0.8414,-0.0203,4,2
19,0.0000,1.0000,1.0000,5,1.0000,0.0200,0.6252,0.8683,-0.0105,0.7667,0.8799,-0.2638,4,2
20,0.0000,1.0000,1.0000,6,1.0000,0.0200,0.7887,0.8834,-0.2559,0.9625,1.0109,-0.2445,4,2
21,0.0000,1.0000,1.0000,7,1.0000,0.0200,0.9593,1.0259,-0.2428,0.9886,0.7548,-0.1907,4,2
22,0.0000,1.0000,1.0000,8,1.0000,0.0200,0.6482,0.8675,0.0501,0.8786,0.9975,-0.2421,4,2
23,0.0000,1.0000,1.0000,9,1.0000,0.0200,0.8023,1.0070,0.0401,0.8277,0.7717,0.0632,4,2
24,0.0000,1.0000,1.0000,10,1.0000,0.0200,0.7345,0.3217,-0.3141,0.7543,0.3485,-0.2499,4,2
25,0.0000,1.0000,1.0000,11,1.0000,0.0200,0.7668,0.6053,-0.0688,0.8010,0.6649,-0.0492,4,2
26,0.0000,1.0000,0.0000,1,1.0000,0.0200,0.7292,0.5639,-0.0066,0.7595,0.7069,0.0022,4,2
27,0.0000,1.0000,0.0000,2,1.0000,0.0200,0.5651,0.5338,0.0404,0.6469,0.7928,-0.0292,4,2
28,0.0000,1.0000,0.0000,3,1.0000,0.0200,0.6898,0.8422,-0.0482,0.5432,0.7831,0.0429,4,2
29,0.0000,1.0000,0.0000,4,1.0000,0.0200,0.5924,0.8085,0.0387,0.7261,0.9017,-0.1056,4,2
30,0.0000,1.0000,0.0000,5,1.0000,0.0200,0.3938,0.6861,0.1250,0.4106,0.6406,0.1415,4,2
31,0.0000,1.0000,0.0000,6,1.0000,0.0200,0.6232,0.3806,-0.0328,0.6408,0.4073,-0.0531,4,2
32,0.0000,1.0000,0.0000,7,1.0000,0.0200,0.7133,0.4451,-0.0369,0.6868,0.4116,-0.1152,4,2
33,0.0000,1.0000,0.0000,8,1.0000,0.0200,0.6881,0.4223,-0.0920,0.7080,0.4285,-0.1210,4,2
34,0.0000,1.0000,0.0000,9,1.0000,0.0200,0.6195,0.3955,-0.1159,0.6655,0.4019,-0.2063,4,2
35,0.0000,1.0000,0.0000,10,1.0000,0.0200,0.7283,0.4599,-0.1641,0.7439,0.4581,-0.2389,4,2
36,0.0000,1.0000,0.0000,11,1.0000,0.0200,0.7964,0.4684,-0.2302,0.7614,0.4369,-0.2889,4,2
37,0.0000,1.0000,0.0000,12,1.0000,0.0200,0.7877,0.4678,-0.2615,0.8151,0.4851,-0.3180,4,2
38,0.0000,1.0000,0.0000,13,1.0000,0.0200,0.8802,0.5306,-0.2965,0.8602,0.5517,-0.3404,4,2
39,0.0000,1.0000,0.0000,14,1.0000,0.0200,0.8225,0.4908,-0.4032,0.7600,0.4435,-0.4115,4,2
40,0.0000,1.0000,0.0000,15,1.0000,0.0200,0.7585,0.4350,-0.3945,0.7906,0.4810,-0.5317,4,2
41,0.0000,1.0000,0.0000,16,1.0000,0.0200,0.9016,0.6317,-0.4660,0.6690,0.4379,-0.5590,4,2
42,0.0000,1.0000,0.0000,17,1.0000,0.0200,0.7393,0.5246,-0.5700,0.7171,0.5396,-0.6344,4,2
43,0.0000,1.0000,0.0000,18,1.0000,0.0200,0.7510,0.5392,-0.1749,0.7009,0.4943,-0.2095,4,2
44,0.0000,1.0000,0.0000,19,1.0000,0.0200,0.6288,0.4272,-0.1106,0.6179,0.4073,-0.1434,4,2
45,0.0000,1.0000,0.0000,20,1.0000,0.0200,0.4558,0.2942,-0.0450,0.8748,1.0702,-0.3707,4,2
46,1.0000,0.0000,0.0000,2,1.0000,0.0200,0.7867,1.1804,-0.4152,0.7552,1.1740,-0.4975,4,2
47,1.0000,0.0000,0.0000,3,1.0000,0.0200,0.6252,1.1266,-0.0896,0.6331,1.0528,-0.0288,4,2
48,1.0000,0.0000,0.0000,4,1.0000,0.0200,0.6190,1.0032,-0.0060,0.6022,1.0351,-0.0103,4,2
49,1.0000,0.0000,0.0000,5,1.0000,0.0200,0.6111,1.0559,-0.0186,0.6355,1.0336,-0.0256,4,2
50,1.0000,0.0000,0.0000,6,1.0000,0.0200,0.6308,0.9996,-0.0145,0.6193,1.0321,-0.0177,4,2
51,1.0000,0.0000,0.0000,7,1.0000,0.0200,0.6414,1.0532,-0.0360,0.7363,1.0274,-0.0874,4,2
52,1.0000,0.0000,0.0000,8,1.0000,0.0200,0.7492,0.8610,-0.0989,0.6077,0.8600,-0.0714,4,2
53,1.0000,0.0000,0.0000,9,1.0000,0.0200,0.6019,0.8779,-0.0783,0.6019,0.8779,-0.0783,4,2
54,1.0000,0.0000,0.0000,10,1.0000,0.0200,0.7427,0.7487,-0.1191,0.6756,0.6357,-0.0399,4,2
55,1.0000,0.9216,0.0157,2,1.0000,0.0200,0.7815,0.6198,-0.3468,0.6802,0.7477,-0.1652,4,2
56,1.0000,0.9216,0.0157,3,1.0000,0.0200,0.8016,0.5560,-0.3593,0.4744,0.5072,0.0077,4,2
57,0.0000,1.0000,1.0000,12,1.0000,0.0200,0.7681,0.6278,-0.0607,0.5253,1.0553,0.1421,4,2
58,0.0000,1.0000,1.0000,13,1.0000,0.0200,0.5320,1.0938,0.1023,0.7406,0.9927,-0.5339,4,2
59,0.0000,1.0000,0.0000,21,1.0000,0.0200,0.8490,0.9947,-0.2953,0.6591,0.9838,-0.0465,4,2
60,0.0000,1.0000,0.0000,22,1.0000,0.0200,0.7737,0.9703,-0.0975,0.6491,0.9931,-0.0437,4,2
61,0.0000,1.0000,0.0000,23,1.0000,0.0200,0.7476,0.9774,-0.0916,0.6175,0.9714,-0.0173,4,2
62,0.0000,1.0000,0.0000,24,1.0000,0.0200,0.6675,0.9173,0.0055,0.7716,0.8493,-0.0329,4,2
63,0.0000,1.0000,0.0000,25,1.0000,0.0200,0.4869,0.8703,-0.3132,0.5257,0.7699,0.0040,4,2
64,0.0000,1.0000,0.0000,26,1.0000,0.0200,0.5704,0.6887,0.0349,0.7072,0.7224,-0.0557,4,2
65,1.0000,0.0000,0.0000,11,1.0000,0.0200,0.5852,0.5125,0.0159,0.6174,0.6833,0.0133,4,2
66,1.0000,0.0000,0.0000,12,1.0000,0.0200,0.5762,0.6428,0.0366,0.5933,0.5774,0.0366,4,2
67,1.0000,0.9216,0.0157,4,1.0000,0.0200,0.6022,0.5826,0.0328,0.6709,0.6130,-0.0516,4,2
68,1.0000,0.9216,0.0157,5,1.0000,0.0200,0.7118,0.4130,-0.0597,0.4229,0.4287,-0.0202,4,2
69,1.0000,0.9216,0.0157,6,1.0000,0.0200,0.4349,0.4305,0.0006,0.4579,0.4643,0.0120,4,2
70,1.0000,0.9216,0.0157,7,1.0000,0.0200,0.4594,0.4478,-0.0036,0.5699,0.5284,-0.0298,4,2
71,1.0000,0.9216,0.0157,8,1.0000,0.0200,0.4097,0.4305,-0.0299,0.6067,0.7204,-0.0040,4,2
72,1.0000,0.9216,0.0157,9,1.0000,0.0200,0.6576,0.7515,-0.0118,0.6364,0.8905,-0.1071,4,2
73,1.0000,0.9216,0.0157,10,1.0000,0.0200,0.6349,0.8582,-0.0708,0.4346,0.6010,0.0659,4,2
74,1.0000,0.9216,0.0157,11,1.0000,0.0200,0.4607,0.6449,0.0595,0.3195,0.7717,0.0957,4,2
75,1.0000,0.9216,0.0157,12,1.0000,0.0200,0.3469,0.8563,0.0900,0.7133,0.4887,-0.1025,4,2
76,1.0000,0.9216,0.0157,13,1.0000,0.0200,0.5046,0.2842,-0.0536,0.5712,0.3127,-0.0817,4,2
77,1.0000,0.9216,0.0157,14,1.0000,0.0200,0.1821,0.9114,0.0528,0.1687,0.8417,0.0718,4,2
78,1.0000,0.9216,0.0157,15,1.0000,0.0500,0.3406,0.8281,0.1904,0.5591,0.9630,0.1435,4,2
79,1.0000,0.9216,0.0157,16,1.0000,0.0500,0.5991,0.9967,0.1141,0.1384,0.9690,0.1687,4,2
80,1.0000,0.9216,0.0157,17,1.0000,0.0500,0.1402,1.0482,0.1183,0.6352,1.1153,0.0373,4,2
81,1.0000,0.9216,0.0157,18,1.0000,0.0500,0.5113,1.0855,0.0799,0.4524,1.0714,0.0793,4,2
82,1.0000,0.9216,0.0157,19,1.0000,0.0500,0.4243,1.1183,0.0276,0.6169,1.1134,0.0382,4,2
83,1.0000,0.9216,0.0157,20,1.0000,0.0500,0.4940,1.0981,0.0450,0.5087,1.0451,0.0728,4,2
84,1.0000,0.9216,0.0157,21,1.0000,0.0500,0.4827,1.1317,0.0150,0.4848,1.0215,0.0922,4,2
85,1.0000,0.9216,0.0157,22,1.0000,0.0500,0.4660,1.1181,0.0296,0.5174,0.9561,0.1296,4,2
86,1.0000,0.9216,0.0157,1,0.2719,0.0500,0.5696,0.9375,0.1583,0.4949,1.0046,0.1349,4,2
87,1.0000,0.9216,0.0157,2,0.2719,0.0500,0.5653,1.0162,0.1037,0.5766,1.0055,0.1059,4,2
88,1.0000,0.9216,0.0157,3,0.2719,0.0500,0.5935,0.9726,0.1164,0.2738,0.9674,0.1196,4,2
89,1.0000,0.9216,0.0157,4,0.2719,0.0500,0.2666,1.0279,0.0964,0.2875,1.1586,-0.0083,4,2
