StrokeIndex,ColorR,ColorG,ColorB,Count,ColorA,BrushSize,Start_X,Start_Y,Start_Z,End_X,End_Y,End_Z,TotalUndoCount,SelectedSceneID
0,0.0000,0.0000,1.0000,1,1.0000,0.0200,-0.0011,0.6436,0.3958,-0.0332,0.6190,0.3847,0,1
1,0.0000,0.0000,1.0000,2,1.0000,0.0200,-0.0747,0.5857,0.3586,-0.0423,0.5855,0.3502,0,1
2,0.0000,0.0000,1.0000,3,1.0000,0.0200,0.0064,0.6198,0.3751,-0.0387,0.8261,0.3971,0,1
3,0.0000,0.0000,1.0000,4,1.0000,0.0200,-0.0935,0.7542,0.3872,-0.1654,0.7372,0.3715,0,1
4,0.0000,0.0000,1.0000,5,1.0000,0.0200,0.0257,0.3548,0.4513,-0.0775,0.4644,0.4334,0,1
5,0.0000,0.0000,1.0000,6,1.0000,0.0200,-0.1687,0.6127,0.4200,-0.1687,0.6127,0.4200,0,1
