StrokeIndex,ColorR,ColorG,ColorB,Count,ColorA,BrushSize,Start_X,Start_Y,Start_Z,End_X,End_Y,End_Z,TotalUndoCount,SelectedSceneID
0,0.0000,0.0000,1.0000,1,1.0000,0.0200,-0.0177,0.8773,0.4929,-0.0754,0.8863,0.4515,11,1
1,0.0000,1.0000,1.0000,1,1.0000,0.0200,0.0247,0.9574,0.4237,0.0247,0.9574,0.4237,11,1
2,0.0000,1.0000,1.0000,2,1.0000,0.0200,0.0112,0.9138,0.3950,0.0196,0.9268,0.3891,11,1
3,0.0000,1.0000,1.0000,3,1.0000,0.0200,0.0609,0.9660,0.4165,0.1499,0.9058,0.4166,11,1
4,0.0000,1.0000,1.0000,1,0.1118,0.0439,0.0853,1.0437,0.4033,-0.0042,0.9840,0.3613,11,1
5,0.0000,1.0000,1.0000,2,0.1118,0.0439,-0.0456,0.8906,0.2970,-0.0268,0.9108,0.2904,11,1
6,0.0000,1.0000,1.0000,3,0.1118,0.0439,0.0818,0.9863,0.3791,0.1233,0.8542,0.3443,11,1
7,1.0000,0.0000,0.0000,1,0.1118,0.0339,0.0175,0.9615,0.3845,-0.0280,0.9303,0.3531,11,1
8,1.0000,0.0000,0.0000,2,0.1118,0.0339,-0.0756,0.8902,0.2881,-0.0584,0.9152,0.3004,11,1
9,1.0000,0.0000,0.0000,3,0.1118,0.0339,0.0140,0.9696,0.3734,0.0569,0.9024,0.3361,11,1
10,1.0000,0.0000,0.0000,4,0.1118,0.0339,0.1148,0.9191,0.3775,0.0415,0.9187,0.3008,11,1
11,1.0000,0.0000,0.0000,5,0.1118,0.0339,0.0879,0.9577,0.3465,0.0179,0.9793,0.3467,11,1
12,1.0000,0.0000,0.0000,6,0.1118,0.0339,-0.0420,1.0149,0.3014,-0.0504,0.9947,0.3215,11,1
13,1.0000,0.0000,0.0000,1,0.6120,0.0339,0.0135,1.0083,0.3807,-0.0015,0.9829,0.3224,11,1
14,1.0000,0.0000,0.0000,2,0.6120,0.0339,0.0279,0.9916,0.3296,0.1922,1.0455,0.3922,11,1
15,1.0000,0.9216,0.0157,1,0.6120,0.0339,0.0063,1.0433,0.3337,-0.0811,0.9922,0.2794,11,1
16,0.0000,1.0000,1.0000,1,0.6120,0.0339,0.0776,0.8254,0.4621,-0.0948,0.8454,0.3573,11,1
17,0.0000,1.0000,1.0000,2,0.6120,0.0339,-0.0554,0.9575,0.4170,-0.0094,1.0036,0.4385,11,1
18,0.0000,1.0000,0.0000,1,0.6120,0.0339,0.0329,1.0347,0.4612,0.1430,0.9990,0.4831,11,1
19,0.0000,1.0000,0.0000,2,0.6120,0.0339,0.0348,0.9033,0.4504,-0.0659,0.9065,0.3954,11,1
