StrokeIndex,ColorR,ColorG,ColorB,Count,ColorA,BrushSize,Start_X,Start_Y,Start_Z,End_X,End_Y,End_Z,TotalUndoCount,SelectedSceneID
0,0.0000,0.0000,1.0000,1,1.0000,0.0200,0.5750,1.0699,0.4982,0.4756,1.1110,0.4768,0,Summer
1,0.0000,0.0000,1.0000,2,1.0000,0.0200,0.3739,1.1914,0.6760,0.3140,0.9738,0.5566,0,Summer
2,0.0000,0.0000,1.0000,3,1.0000,0.0200,0.2798,0.9752,0.4602,0.2855,1.0505,0.4915,0,Summer
3,0.0000,1.0000,1.0000,1,1.0000,0.0200,0.2514,1.1305,0.5423,0.2251,1.0287,0.5276,0,Summer
4,0.0000,1.0000,1.0000,2,1.0000,0.0200,0.2278,0.9776,0.4875,0.2792,0.9877,0.5211,0,Summer
5,0.0000,1.0000,1.0000,3,1.0000,0.0200,0.3223,1.0347,0.6163,0.3297,0.9392,0.5699,0,Summer
6,0.0000,1.0000,1.0000,4,1.0000,0.0200,0.3233,0.9085,0.5180,0.3528,0.9323,0.5286,0,Summer
7,0.0000,1.0000,1.0000,5,1.0000,0.0200,0.3988,0.9713,0.6073,0.4789,0.9843,0.6771,0,Summer
8,0.0000,1.0000,0.0000,1,1.0000,0.0200,0.2375,1.1300,0.5083,0.2957,1.0291,0.5546,0,Summer
9,0.0000,1.0000,0.0000,2,1.0000,0.0200,0.3410,0.9929,0.5404,0.3590,0.9680,0.5549,0,Summer
10,0.0000,1.0000,0.0000,3,1.0000,0.0200,0.2575,1.0264,0.4390,0.7513,1.3692,0.5881,0,Summer
11,0.0000,1.0000,0.0000,4,1.0000,0.0200,0.8597,1.4154,0.5335,0.8941,1.4205,0.5171,0,Summer
12,1.0000,0.0000,0.0000,1,1.0000,0.0200,0.3779,1.2255,0.6644,0.1684,1.0622,0.5247,0,Summer
13,1.0000,0.0000,0.0000,1,0.1014,0.0500,0.1239,1.0588,0.6289,0.1345,1.0213,0.6211,0,Summer
14,1.0000,0.0000,0.0000,2,0.1014,0.0500,0.1248,0.9760,0.5632,0.2593,0.9439,0.6304,0,Summer
15,1.0000,0.9216,0.0157,1,0.1014,0.0500,0.1600,1.0996,0.6073,0.1363,1.0744,0.5669,0,Summer
16,1.0000,0.9216,0.0157,2,0.1014,0.0500,0.1178,1.0242,0.4878,0.1300,1.0417,0.5264,0,Summer
17,1.0000,0.9216,0.0157,3,0.1014,0.0500,0.1541,1.0911,0.6019,0.2189,1.0766,0.6428,0,Summer
18,1.0000,0.9216,0.0157,4,0.1014,0.0500,0.2285,1.0028,0.5996,0.2780,1.0336,0.6257,0,Summer
19,1.0000,0.9216,0.0157,5,0.1014,0.0500,0.3009,1.0955,0.6769,0.4320,1.0186,0.6207,0,Summer
20,1.0000,0.9216,0.0157,1,1.0000,0.0302,0.2691,1.1887,0.6068,0.4346,1.1735,0.5661,0,Summer
21,1.0000,0.9216,0.0157,2,1.0000,0.0302,0.4956,1.1763,0.5928,0.4358,1.0778,0.5483,0,Summer
22,1.0000,0.9216,0.0157,3,1.0000,0.0302,0.3905,1.1011,0.5400,0.3143,0.9896,0.5706,0,Summer
23,1.0000,0.9216,0.0157,4,1.0000,0.0302,0.3698,1.0208,0.6120,0.6082,0.9886,0.6541,0,Summer
24,1.0000,0.9216,0.0157,5,1.0000,0.0302,0.5156,1.0017,0.6653,0.3128,0.9789,0.5495,0,Summer
25,1.0000,0.9216,0.0157,6,1.0000,0.0490,0.1562,1.0745,0.4659,0.1763,1.0837,0.4099,0,Summer
26,1.0000,0.9216,0.0157,1,0.4009,0.0490,0.1520,1.0869,0.4619,0.2041,1.0036,0.4286,0,Summer
27,1.0000,0.9216,0.0157,2,0.4009,0.0490,0.2129,0.9616,0.3902,0.2677,0.9915,0.4262,0,Summer
28,1.0000,0.9216,0.0157,3,0.4009,0.0490,0.2833,1.0178,0.4795,0.3226,0.9833,0.5000,0,Summer
29,1.0000,0.9216,0.0157,4,0.4009,0.0490,0.3273,0.8818,0.3369,0.3689,0.9213,0.3641,0,Summer
30,1.0000,0.9216,0.0157,5,0.4009,0.0490,0.4092,0.9878,0.4615,0.4332,0.8572,0.4108,0,Summer
31,1.0000,0.9216,0.0157,6,0.4009,0.0490,0.4238,0.8326,0.3702,0.4642,0.8554,0.3881,0,Summer
32,0.0000,0.0000,1.0000,1,0.4009,0.0490,0.6015,0.8924,0.5118,0.2319,0.9784,0.5058,0,Summer
33,0.0000,0.0000,1.0000,2,0.4009,0.0490,0.3624,0.9739,0.4034,0.3041,1.0828,0.4993,0,Summer
