StrokeIndex,ColorR,ColorG,ColorB,Count,ColorA,BrushSize,Start_X,Start_Y,Start_Z,End_X,End_Y,End_Z,TotalUndoCount,SelectedSceneID
0,0.0000,0.0000,1.0000,1,1.0000,0.0200,-0.0205,0.6845,0.0633,-0.0737,0.5143,-0.0077,0,1
1,0.0000,0.0000,1.0000,2,1.0000,0.0200,0.2599,0.7249,0.1390,-0.1038,0.4802,-0.0112,0,1
2,0.0000,0.0000,1.0000,3,1.0000,0.0200,0.2361,0.6081,0.1667,0.1584,0.5965,0.1468,0,1
3,0.0000,0.0000,1.0000,4,1.0000,0.0200,0.0730,0.6495,0.1107,0.0271,0.6899,0.0685,0,1
4,0.0000,0.0000,1.0000,5,1.0000,0.0200,0.0317,0.6672,0.0869,0.2330,0.6541,0.1614,0,1
5,0.0000,0.0000,1.0000,6,1.0000,0.0200,0.1285,0.6796,0.1363,0.1629,0.6664,0.1348,0,1
6,0.0000,0.0000,1.0000,7,1.0000,0.0200,0.1124,0.6890,0.1189,0.1231,0.6394,0.1173,0,1
7,0.0000,1.0000,1.0000,1,1.0000,0.0200,0.2848,0.6497,0.0619,0.2848,0.6497,0.0619,0,1
8,0.0000,1.0000,1.0000,1,0.6424,0.0200,-0.0668,0.5166,-0.0340,0.0145,0.4715,0.0653,0,1
9,0.0000,1.0000,0.0000,1,0.6424,0.0200,-0.0782,0.4233,0.0049,0.2607,0.6028,0.1438,0,1
10,1.0000,0.0000,0.0000,1,0.6424,0.0200,-0.0061,0.4801,0.0425,-0.2860,0.7645,-0.0121,0,1
