StrokeIndex,ColorR,ColorG,ColorB,Count,ColorA,BrushSize,Start_X,Start_Y,Start_Z,End_X,End_Y,End_Z,TotalUndoCount,SelectedSceneID
0,1.0000,0.9216,0.0157,1,1.0000,0.0200,0.2198,0.8161,0.5106,0.3129,0.8100,0.5332,0,Spring
1,0.0000,1.0000,0.0000,1,1.0000,0.0200,0.2928,0.7239,0.4636,0.3183,0.6862,0.3907,0,Spring
2,0.0000,1.0000,0.0000,2,1.0000,0.0200,-0.0594,1.1153,0.4934,0.0573,1.1497,0.5654,0,Spring
3,0.0000,1.0000,0.0000,3,1.0000,0.0200,0.0032,1.0778,0.5520,0.0567,1.0465,0.5619,0,Spring
4,0.0000,1.0000,0.0000,4,1.0000,0.0200,0.0554,1.1057,0.5681,0.0473,1.0068,0.5411,0,Spring
5,0.0000,1.0000,0.0000,5,1.0000,0.0200,0.0515,1.0059,0.5521,0.1050,1.0921,0.5780,0,Spring
6,0.0000,1.0000,0.0000,6,1.0000,0.0200,0.0909,1.1093,0.5822,0.1182,1.0522,0.5870,0,Spring
7,0.0000,1.0000,0.0000,7,1.0000,0.0200,0.1371,1.0731,0.6055,0.1571,1.1135,0.6016,0,Spring
8,0.0000,1.0000,0.0000,8,1.0000,0.0200,0.1528,1.0527,0.6036,0.1862,1.0788,0.6137,0,Spring
9,0.0000,1.0000,0.0000,9,1.0000,0.0200,0.2406,1.1890,0.6179,0.2873,1.0375,0.6146,0,Spring
10,0.0000,1.0000,0.0000,10,1.0000,0.0200,0.2962,1.1445,0.6118,0.3326,1.1767,0.5891,0,Spring
11,0.0000,1.0000,0.0000,11,1.0000,0.0200,0.3156,1.0686,0.6127,0.3945,1.0686,0.5964,0,Spring
12,0.0000,1.0000,0.0000,12,1.0000,0.0200,0.3716,1.0974,0.6137,0.4375,1.1350,0.5869,0,Spring
13,0.0000,1.0000,0.0000,13,1.0000,0.0200,0.4670,1.2112,0.5779,0.5043,1.0346,0.5717,0,Spring
14,0.0000,1.0000,0.0000,14,1.0000,0.0200,0.4649,1.0352,0.5786,0.4891,0.9802,0.5708,0,Spring
15,0.0000,1.0000,0.0000,15,1.0000,0.0200,0.5431,1.1805,0.5385,0.5856,1.0404,0.5294,0,Spring
16,0.0000,1.0000,0.0000,16,1.0000,0.0200,0.6104,0.9808,0.5014,0.6080,1.0069,0.5015,0,Spring
17,0.0000,1.0000,0.0000,17,1.0000,0.0200,0.6239,1.1963,0.5126,0.6469,1.0342,0.5018,0,Spring
18,0.0000,1.0000,0.0000,18,1.0000,0.0200,0.6410,0.9898,0.4970,0.6568,1.0167,0.4761,0,Spring
19,0.0000,1.0000,0.0000,19,1.0000,0.0200,0.6903,1.1997,0.4684,0.7001,1.0138,0.4598,0,Spring
20,0.0000,1.0000,0.0000,20,1.0000,0.0200,0.6960,0.9693,0.4517,0.6189,0.9945,0.4817,0,Spring
21,1.0000,0.0000,0.0000,1,1.0000,0.0200,0.1168,0.9728,0.5858,-0.0648,1.0569,0.5569,0,Spring
22,1.0000,0.0000,0.0000,2,1.0000,0.0200,-0.0941,0.9680,0.5202,0.1296,0.9713,0.5981,0,Spring
23,1.0000,0.0000,0.0000,3,1.0000,0.0200,-0.1050,1.0496,0.4025,-0.1071,1.0510,0.3961,0,Spring
24,1.0000,0.0000,0.0000,4,1.0000,0.0200,-0.1168,1.1081,0.3723,-0.1134,1.1084,0.3772,0,Spring
25,1.0000,0.0000,0.0000,5,1.0000,0.0200,-0.1111,1.1164,0.3683,-0.1102,1.1142,0.3634,0,Spring
26,1.0000,0.0000,0.0000,6,1.0000,0.0200,-0.0793,1.1177,0.3669,-0.0837,1.1145,0.3648,0,Spring
27,1.0000,0.0000,0.0000,7,1.0000,0.0200,-0.0968,1.1326,0.3623,-0.0966,1.1226,0.3567,0,Spring
28,1.0000,0.0000,0.0000,8,1.0000,0.0200,-0.0951,1.1344,0.3543,-0.0952,1.1258,0.3594,0,Spring
29,1.0000,0.0000,0.0000,9,1.0000,0.0200,-0.0929,1.1298,0.3675,-0.0791,1.1177,0.3801,0,Spring
30,0.0000,0.0000,1.0000,1,1.0000,0.0200,-0.0237,1.1153,0.3108,-0.0001,1.0926,0.3136,0,Spring
31,0.0000,0.0000,1.0000,2,1.0000,0.0200,-0.0067,1.0935,0.2956,-0.0125,1.0821,0.3027,0,Spring
32,0.0000,0.0000,1.0000,3,1.0000,0.0200,-0.0140,1.0875,0.3393,-0.0115,1.0902,0.3408,0,Spring
33,0.0000,0.0000,1.0000,4,1.0000,0.0200,-0.0723,1.1204,0.2818,-0.0721,1.1131,0.2986,0,Spring
34,0.0000,0.0000,1.0000,5,1.0000,0.0200,-0.0725,1.1086,0.3046,-0.0687,1.1009,0.3102,0,Spring
35,0.0000,0.0000,1.0000,6,1.0000,0.0200,-0.0652,1.0925,0.3157,-0.0606,1.0790,0.3011,0,Spring
36,0.0000,0.0000,1.0000,7,1.0000,0.0200,-0.0417,1.0939,0.3140,-0.0457,1.0961,0.3188,0,Spring
37,0.0000,0.0000,1.0000,8,1.0000,0.0200,-0.0436,1.1039,0.3256,-0.0463,1.1050,0.3310,0,Spring
38,0.0000,0.0000,1.0000,9,1.0000,0.0200,-0.0498,1.1130,0.3321,-0.0614,1.1135,0.3418,0,Spring
39,0.0000,0.0000,1.0000,10,1.0000,0.0200,-0.0728,1.1149,0.3465,-0.0789,1.0980,0.3521,0,Spring
40,0.0000,0.0000,1.0000,11,1.0000,0.0200,-0.0988,1.1894,0.4975,-0.0844,1.1854,0.5098,0,Spring
